file_size,read_speed,write_speed
10485760,135.135,54.3478
20971520,118.343,102.564
31457280,140.845,129.31
41943040,117.994,122.699
52428800,225.225,110.619
62914560,218.182,134.831
73400320,221.519,136.719
83886080,235.294,121.766
94371840,185.95,127.298
104857600,190.84,166.945
115343360,224.949,151.515
125829120,198.675,129.032
136314880,192.593,141.458
146800640,200,144.778
157286400,222.222,131.349
167772160,184.758,127.085
178257920,220.493,131.274
188743680,223.881,143.198
199229440,233.129,130.854
209715200,177.462,123.533
220200960,236.22,124.408
230686720,209.524,130.101
241172480,225.049,119.481
251658240,197.694,109.739
262144000,196.386,116.659
